,id,pred_prob,pred_label
0,0,0.37917838378207436,0.0
1,1,0.4176640200768523,0.0
2,2,0.6254741344418531,1.0
3,3,0.7548974804627236,1.0
4,4,0.4225062632935601,0.0
5,5,0.8332243559813933,1.0
6,6,0.8648794282078534,1.0
7,7,0.5529509056990893,1.0
8,8,0.8387065819928423,1.0
9,9,0.041117608654517815,0.0
10,10,0.22542200903840048,0.0
11,11,0.596081493387187,1.0
12,12,0.3382835252560069,0.0
13,13,0.8548893467832236,1.0
14,14,0.828495539257354,1.0
15,15,0.21433055610941343,0.0
16,16,0.3711157312587959,0.0
17,17,0.3889248698597046,0.0
18,18,0.24907177589824042,0.0
19,19,0.6009936272230563,1.0
20,20,0.07613196222270861,0.0
21,21,0.2519357056722421,0.0
22,22,0.1629007371952833,0.0
23,23,0.5267300482814117,1.0
24,24,0.3266363059508586,0.0
25,25,0.19172983625876186,0.0
26,26,0.6049179233308972,1.0
27,27,0.2961681579048112,0.0
28,28,0.5926960315366558,1.0
29,29,0.8164117383446994,1.0
30,30,0.2618137090496904,0.0
31,31,0.8789917730504819,1.0
32,32,0.8788392244540877,1.0
33,33,0.14312936865148135,0.0
34,34,0.1658552673094678,0.0
35,35,0.2815377546328687,0.0
36,36,0.855619158225057,1.0
37,37,0.5630419587570825,1.0
38,38,0.30077756655567234,0.0
39,39,0.6346275886301324,1.0
40,40,0.445474643726708,0.0
41,41,0.8877716571087615,1.0
42,42,0.8788774670196997,1.0
43,43,0.2752263233458361,0.0
44,44,0.7999544656074952,1.0
45,45,0.44333818931645297,0.0
46,46,0.2497119670676558,0.0
47,47,0.32441891064164985,0.0
48,48,0.5397627903251431,1.0
49,49,0.8692341785053573,1.0
50,50,0.7813380791408526,1.0
51,51,0.2505350061495096,0.0
52,52,0.42454389153832117,0.0
53,53,0.35139595720149913,0.0
54,54,0.3208097570886401,0.0
55,55,0.24349111692269343,0.0
56,56,0.434924958278888,0.0
57,57,0.9072517464093026,1.0
58,58,0.8668854099839476,1.0
59,59,0.24644768699643488,0.0
60,60,0.5580153647618538,1.0
61,61,0.3461336793292996,0.0
62,62,0.3738478399257408,0.0
63,63,0.21118112388122634,0.0
64,64,0.4391246777779936,0.0
65,65,0.13412179489461798,0.0
66,66,0.6118706129382595,1.0
67,67,0.7130288531950595,1.0
68,68,0.1151394739557625,0.0
69,69,0.1858421662320116,0.0
70,70,0.8029066719882012,1.0
71,71,0.4418306357953471,0.0
72,72,0.46410364227310413,0.0
73,73,0.4223596440639602,0.0
74,74,0.12070120309569277,0.0
75,75,0.3330641993989565,0.0
76,76,0.1938435121343558,0.0
77,77,0.19761943704293972,0.0
78,78,0.15045100746791543,0.0
79,79,0.6773478050130428,1.0
80,80,0.5356163863156684,1.0
81,81,0.19213402183416559,0.0
82,82,0.8023001878171594,1.0
83,83,0.8585511204327769,1.0
84,84,0.8128346046344808,1.0
85,85,0.6606262419175177,1.0
86,86,0.6552673753302299,1.0
87,87,0.8218535736906478,1.0
88,88,0.13652855666460068,0.0
89,89,0.8217263578662162,1.0
90,90,0.8735703929724116,1.0
91,91,0.3318203772843823,0.0
92,92,0.4143561700430115,0.0
93,93,0.845144540829778,1.0
94,94,0.402043709994363,0.0
95,95,0.8530616013637062,1.0
96,96,0.21798820614313713,0.0
97,97,0.22898811743704223,0.0
98,98,0.19477874142041185,0.0
99,99,0.7927573772060534,1.0
100,100,0.735983822938147,1.0
101,101,0.3364565477256801,0.0
102,102,0.2585854085796123,0.0
103,103,0.7517057696749543,1.0
104,104,0.25717182916460407,0.0
105,105,0.6428618594605711,1.0
106,106,0.8166521450565006,1.0
107,107,0.8411564038092174,1.0
108,108,0.43031070450498077,0.0
109,109,0.778772983058736,1.0
110,110,0.6184218045686045,1.0
111,111,0.5929339278181973,1.0
112,112,0.7805954200877185,1.0
113,113,0.23613806955248096,0.0
114,114,0.8773545314505224,1.0
115,115,0.1333253175482027,0.0
116,116,0.3087947933614147,0.0
117,117,0.8465326971899219,1.0
118,118,0.16813266780622824,0.0
119,119,0.5960515846099764,1.0
120,120,0.7928658281297832,1.0
121,121,0.16970973357351787,0.0
122,122,0.8399073671801036,1.0
123,123,0.545542413883934,1.0
124,124,0.7952489943300345,1.0
